host_since,neighbourhood,city,accommodates,price
2019-09-06,Pantheon,Paris,4,170
2018-10-24,Luxembourg,Paris,4,140
2015-12-17,Elysee,Paris,5,312
2015-01-27,Batignolles-Monceau,Paris,4,94
2015-12-17,Elysee,Paris,9,384
2015-12-17,Elysee,Paris,12,520
2013-04-22,Elysee,Paris,6,209
2014-05-26,Vaugirard,Paris,4,51
2014-12-22,Vaugirard,Paris,4,150
2018-10-24,Passy,Paris,2,250
2018-09-17,Vaugirard,Paris,4,57
2017-08-28,Vaugirard,Paris,4,100
2018-10-24,Batignolles-Monceau,Paris,4,200
2018-10-12,Passy,Paris,4,120
2018-11-22,Popincourt,Paris,4,183
2015-06-09,Observatoire,Paris,4,65
2015-07-10,Opera,Paris,2,40
2014-06-20,Opera,Paris,2,61
2014-06-20,Elysee,Paris,4,69
2018-06-29,Luxembourg,Paris,6,98
2012-08-01,Luxembourg,Paris,4,55
2014-06-20,Popincourt,Paris,5,83
2020-07-18,Batignolles-Monceau,Paris,3,60
2014-06-20,Passy,Paris,4,83
2018-10-24,Bourse,Paris,5,250
2010-06-14,Louvre,Paris,2,78
2018-11-22,Opera,Paris,8,98
2014-06-20,Buttes-Montmartre,Paris,2,54
2014-06-20,Hotel-de-Ville,Paris,6,329
2018-11-22,Buttes-Montmartre,Paris,4,160
2014-06-20,Bourse,Paris,6,118
2016-02-18,Louvre,Paris,4,114
2014-01-24,Temple,Paris,3,77
2018-11-22,Opera,Paris,6,264
2018-11-22,Opera,Paris,4,76
2014-06-20,Popincourt,Paris,2,96
2014-06-20,Opera,Paris,4,78
2014-06-20,Observatoire,Paris,2,75
2013-05-20,Elysee,Paris,4,239
2013-07-20,Palais-Bourbon,Paris,6,234
2015-06-11,Buttes-Chaumont,Paris,2,43
2014-05-30,Pantheon,Paris,4,85
2015-08-01,Batignolles-Monceau,Paris,4,23
2015-01-27,Bourse,Paris,4,57
2011-12-03,Luxembourg,Paris,4,145
2014-02-13,Luxembourg,Paris,6,115
2015-01-27,Elysee,Paris,3,94
2014-01-24,Louvre,Paris,4,156
2013-07-20,Popincourt,Paris,7,200
2016-10-24,Bourse,Paris,14,1350
2014-04-25,Opera,Paris,2,78
2017-06-24,Enclos-St-Laurent,Paris,4,200
2017-08-28,Bourse,Paris,4,110
2017-08-28,Bourse,Paris,5,120
2012-04-10,Hotel-de-Ville,Paris,4,206
2014-02-23,Observatoire,Paris,6,200
2011-06-07,Palais-Bourbon,Paris,5,128
2011-06-07,Hotel-de-Ville,Paris,2,79
2013-10-10,Palais-Bourbon,Paris,6,1100
2015-01-27,Louvre,Paris,4,128
2015-07-24,Temple,Paris,2,95
2016-03-20,Bourse,Paris,4,195
2014-07-14,Temple,Paris,3,79
2018-10-24,Batignolles-Monceau,Paris,2,200
2018-12-03,Opera,Paris,4,106
2018-10-24,Temple,Paris,4,125
2018-06-04,Buttes-Montmartre,Paris,2,135
2018-10-24,Popincourt,Paris,6,350
2015-01-27,Reuilly,Paris,6,170
2011-12-03,Palais-Bourbon,Paris,2,89
2018-06-04,Buttes-Montmartre,Paris,3,153
2018-06-04,Buttes-Montmartre,Paris,2,215
2014-01-24,Enclos-St-Laurent,Paris,6,135
2017-08-28,Bourse,Paris,4,110
2016-01-23,Menilmontant,Paris,4,60
2015-12-06,Opera,Paris,6,400
2011-12-03,Luxembourg,Paris,2,149
2012-05-15,Popincourt,Paris,2,70
2012-05-30,Batignolles-Monceau,Paris,2,80
2015-07-24,Louvre,Paris,4,290
2018-10-24,Luxembourg,Paris,8,160
2014-01-24,Louvre,Paris,8,220
2015-12-17,Elysee,Paris,5,382
2012-04-10,Temple,Paris,4,99
2018-10-24,Pantheon,Paris,4,200
2015-12-17,Elysee,Paris,10,474
2012-04-10,Temple,Paris,4,155
2015-12-17,Elysee,Paris,10,426
2018-10-24,Louvre,Paris,4,250
2015-04-07,Batignolles-Monceau,Paris,2,60
2015-08-21,Buttes-Chaumont,Paris,4,40
2019-12-02,Passy,Paris,4,800
2015-01-27,Palais-Bourbon,Paris,5,71
2019-08-04,Hotel-de-Ville,Paris,4,320
2019-12-15,Buttes-Montmartre,Paris,5,115
2018-10-24,Louvre,Paris,4,393
2018-10-24,Palais-Bourbon,Paris,4,200
2017-08-28,Vaugirard,Paris,4,80
2014-06-20,Bourse,Paris,4,67
2017-08-28,Vaugirard,Paris,2,60
2017-08-28,Vaugirard,Paris,7,130
2015-12-17,Opera,Paris,8,178
2015-01-27,Louvre,Paris,3,120
2015-01-27,Passy,Paris,2,49
2015-01-27,Palais-Bourbon,Paris,2,56
2020-01-23,Passy,Paris,2,85
2018-12-14,Elysee,Paris,4,300
2018-10-24,Reuilly,Paris,4,200
2016-02-18,Pantheon,Paris,7,210
2012-04-10,Vaugirard,Paris,4,82
2020-01-23,Popincourt,Paris,4,99
2019-10-17,Opera,Paris,14,353
2020-05-10,Gobelins,Paris,3,45
2013-06-21,Popincourt,Paris,2,70
2013-08-15,Luxembourg,Paris,2,75
2020-05-20,Enclos-St-Laurent,Paris,4,78
2016-02-01,Reuilly,Paris,4,40
2020-07-07,Enclos-St-Laurent,Paris,4,75
2019-09-17,Passy,Paris,2,99
2016-04-03,Buttes-Montmartre,Paris,2,61
2020-05-10,Temple,Paris,3,73
2017-08-11,Temple,Paris,3,60
2017-08-11,Temple,Paris,3,70
2018-11-22,Temple,Paris,4,160
2016-01-16,Popincourt,Paris,4,70
2018-10-12,Opera,Paris,6,180
2015-06-26,Palais-Bourbon,Paris,2,57
2015-07-09,Buttes-Montmartre,Paris,4,42
2015-01-27,Vaugirard,Paris,5,67
2018-11-22,Enclos-St-Laurent,Paris,2,58
2012-05-30,Pantheon,Paris,4,110
2014-06-20,Hotel-de-Ville,Paris,6,329
2014-06-20,Popincourt,Paris,4,299
2016-01-04,Enclos-St-Laurent,Paris,6,115
2018-11-22,Batignolles-Monceau,Paris,2,69
2014-06-20,Bourse,Paris,2,59
2015-07-30,Opera,Paris,2,45
2013-04-22,Elysee,Paris,4,167
2016-06-26,Buttes-Montmartre,Paris,3,50
2013-09-05,Buttes-Montmartre,Paris,2,70
2014-01-12,Batignolles-Monceau,Paris,3,49
2014-01-24,Louvre,Paris,6,201
2014-06-20,Opera,Paris,6,119
2018-11-22,Popincourt,Paris,2,46
2020-12-16,Vaugirard,Paris,2,58
2014-06-20,Opera,Paris,6,146
2014-07-23,Buttes-Montmartre,Paris,2,55
2015-05-21,Passy,Paris,8,396
2015-05-21,Popincourt,Paris,8,449
2020-02-05,Passy,Paris,4,200
2015-05-21,Palais-Bourbon,Paris,6,352
2015-05-21,Pantheon,Paris,5,302
2018-05-28,Buttes-Chaumont,Paris,10,360
2015-05-21,Batignolles-Monceau,Paris,6,302
2018-05-28,Menilmontant,Paris,10,300
2015-05-21,Passy,Paris,8,707
2015-05-21,Passy,Paris,8,756
2015-05-21,Elysee,Paris,5,468
2015-05-21,Temple,Paris,8,468
2015-05-21,Observatoire,Paris,5,282
2015-05-21,Elysee,Paris,8,585
2015-05-21,Vaugirard,Paris,5,345
2015-05-21,Passy,Paris,5,316
2015-05-21,Passy,Paris,7,293
2015-05-21,Buttes-Montmartre,Paris,8,333
2015-05-21,Popincourt,Paris,7,293
2015-05-21,Passy,Paris,6,536
2020-04-21,Enclos-St-Laurent,Paris,7,144
2018-06-14,Temple,Paris,8,144
2018-06-14,Temple,Paris,8,134
2015-05-21,Temple,Paris,4,225
2015-05-21,Louvre,Paris,5,296
2015-05-21,Passy,Paris,5,464
2015-05-21,Passy,Paris,5,266
2015-05-21,Opera,Paris,5,218
2015-05-21,Elysee,Paris,5,308
2015-05-21,Opera,Paris,5,221
2015-05-21,Batignolles-Monceau,Paris,5,214
2015-05-21,Passy,Paris,7,473
2015-05-21,Hotel-de-Ville,Paris,5,432
2015-05-21,Palais-Bourbon,Paris,5,271
2015-05-21,Vaugirard,Paris,5,215
2015-05-21,Vaugirard,Paris,4,285
2015-05-21,Opera,Paris,5,285
2020-03-05,Passy,Paris,8,483
2015-05-21,Popincourt,Paris,5,224
2015-05-21,Vaugirard,Paris,5,271
2015-05-21,Passy,Paris,8,252
2015-05-21,Popincourt,Paris,7,269
2015-05-21,Passy,Paris,5,344
2015-05-21,Elysee,Paris,5,284
2015-05-21,Batignolles-Monceau,Paris,4,219
2015-05-21,Elysee,Paris,5,348
2015-05-21,Popincourt,Paris,4,310
2015-05-21,Pantheon,Paris,5,243
2015-05-21,Vaugirard,Paris,5,223
2015-05-21,Passy,Paris,5,262
2019-10-28,Bourse,Paris,10,156
2015-05-21,Vaugirard,Paris,6,231
2015-05-21,Passy,Paris,6,252
2015-05-21,Luxembourg,Paris,6,359
2015-05-21,Batignolles-Monceau,Paris,6,632
2015-05-21,Vaugirard,Paris,6,346
2015-05-21,Passy,Paris,6,360
2015-05-21,Passy,Paris,6,464
2015-05-21,Observatoire,Paris,6,275
2015-05-21,Passy,Paris,6,275
2016-09-28,Passy,Paris,6,977
2015-05-21,Passy,Paris,6,406
2015-05-21,Batignolles-Monceau,Paris,6,320
2015-05-21,Luxembourg,Paris,6,477
2015-05-21,Batignolles-Monceau,Paris,6,378
2015-05-21,Menilmontant,Paris,6,266
2015-05-21,Bourse,Paris,6,504
2015-05-21,Bourse,Paris,6,477
2015-05-21,Opera,Paris,6,365
2015-05-21,Opera,Paris,6,271
2015-05-21,Palais-Bourbon,Paris,6,432
2015-05-21,Popincourt,Paris,6,288
2019-04-19,Enclos-St-Laurent,Paris,6,220
2015-05-21,Batignolles-Monceau,Paris,6,249
2015-05-21,Passy,Paris,6,475
2015-05-21,Bourse,Paris,6,387
2015-05-21,Enclos-St-Laurent,Paris,6,266
2015-05-21,Passy,Paris,6,282
2015-05-21,Passy,Paris,6,251
2016-09-28,Elysee,Paris,6,860
2015-05-21,Palais-Bourbon,Paris,6,260
2015-05-21,Batignolles-Monceau,Paris,6,576
2015-12-10,Temple,Paris,6,140
2020-08-02,Enclos-St-Laurent,Paris,6,130
2016-09-28,Temple,Paris,6,179
2013-09-04,Observatoire,Paris,4,349
2013-09-04,Louvre,Paris,4,349
2013-09-04,Opera,Paris,4,222
2013-09-04,Elysee,Paris,4,333
2018-11-15,Bourse,Paris,4,80
2018-11-15,Hotel-de-Ville,Paris,4,75
2019-03-15,Hotel-de-Ville,Paris,4,70
2019-10-28,Observatoire,Paris,4,48
2016-10-04,Bourse,Paris,4,90
2018-07-16,Temple,Paris,4,63
2019-06-28,Popincourt,Paris,4,195
2019-02-26,Elysee,Paris,4,97
2016-10-04,Reuilly,Paris,4,54
2016-10-04,Reuilly,Paris,4,56
2016-10-04,Reuilly,Paris,4,73
2016-10-04,Reuilly,Paris,4,58
2016-10-04,Reuilly,Paris,4,57
2016-10-04,Reuilly,Paris,4,70
2016-10-04,Reuilly,Paris,4,64
2018-05-09,Enclos-St-Laurent,Paris,4,70
2017-12-19,Observatoire,Paris,4,62
2016-10-04,Popincourt,Paris,4,46
2020-07-08,Opera,Paris,4,58
2020-10-14,Batignolles-Monceau,Paris,4,57
2019-07-09,Observatoire,Paris,4,62
2017-06-21,Pantheon,Paris,3,137
2017-08-04,Enclos-St-Laurent,Paris,3,75
2020-07-08,Bourse,Paris,5,74
2019-05-01,Bourse,Paris,3,72
2019-05-01,Bourse,Paris,3,69
2019-05-01,Bourse,Paris,3,69
2019-05-01,Bourse,Paris,3,53
2019-05-01,Bourse,Paris,3,53
2018-06-13,Elysee,Paris,3,85
2018-05-09,Bourse,Paris,1,65
2019-03-13,Enclos-St-Laurent,Paris,1,40
2018-11-08,Pantheon,Paris,3,100
2018-11-08,Elysee,Paris,3,110
2015-10-26,Louvre,Paris,3,75
2019-03-15,Hotel-de-Ville,Paris,3,45
2017-12-07,Palais-Bourbon,Paris,3,101
2017-08-04,Observatoire,Paris,3,65
2017-12-07,Temple,Paris,3,68
2019-08-23,Observatoire,Paris,3,65
2014-03-22,Elysee,Paris,2,55
2016-02-23,Elysee,Paris,2,55
2016-02-09,Bourse,Paris,2,69
2018-11-18,Batignolles-Monceau,Paris,2,60
2019-05-30,Luxembourg,Paris,2,80
2015-09-06,Buttes-Montmartre,Paris,2,60
2013-05-29,Enclos-St-Laurent,Paris,2,60
2019-01-29,Gobelins,Paris,2,65
2015-03-23,Buttes-Montmartre,Paris,2,41
2014-07-01,Enclos-St-Laurent,Paris,2,49
2010-06-25,Elysee,Paris,2,108
2015-05-21,Bourse,Paris,2,135
2019-12-02,Popincourt,Paris,2,67
2018-11-08,Observatoire,Paris,2,45
2016-12-02,Enclos-St-Laurent,Paris,2,59
2019-01-29,Luxembourg,Paris,2,76
2013-08-17,Reuilly,Paris,2,50
2013-08-17,Reuilly,Paris,2,50
2013-08-17,Reuilly,Paris,2,50
2013-08-17,Reuilly,Paris,2,50
2020-12-04,Enclos-St-Laurent,Paris,2,59
2015-12-27,Palais-Bourbon,Paris,2,65
2019-01-29,Hotel-de-Ville,Paris,2,62
2013-12-15,Enclos-St-Laurent,Paris,2,32
2016-10-04,Reuilly,Paris,2,49
2015-03-23,Enclos-St-Laurent,Paris,2,50
2016-10-04,Vaugirard,Paris,2,62
2016-10-04,Vaugirard,Paris,2,56
2013-08-17,Reuilly,Paris,2,50
2020-08-03,Luxembourg,Paris,2,35
2017-07-19,Hotel-de-Ville,Paris,2,62
2016-05-29,Popincourt,Paris,2,50
2019-01-04,Passy,Paris,2,45
2015-01-12,Batignolles-Monceau,Paris,2,40
2019-11-26,Opera,Paris,2,94
2018-08-02,Opera,Paris,2,51
2019-05-02,Hotel-de-Ville,Paris,2,54
2018-08-02,Opera,Paris,2,51
2019-03-15,Temple,Paris,2,70
2019-03-15,Hotel-de-Ville,Paris,2,70
2019-03-15,Hotel-de-Ville,Paris,2,45
2019-09-30,Pantheon,Paris,2,85
2020-06-02,Pantheon,Paris,2,55
2020-06-24,Gobelins,Paris,2,85
2020-02-17,Reuilly,Paris,2,38
2020-04-21,Batignolles-Monceau,Paris,2,167
2020-07-08,Opera,Paris,2,96
2020-09-01,Palais-Bourbon,Paris,2,59
2016-01-04,Vaugirard,Paris,2,50
2020-09-13,Menilmontant,Paris,2,70
2020-10-01,Passy,Paris,2,38
2020-07-02,Vaugirard,Paris,2,59
2020-10-14,Reuilly,Paris,2,40
2020-07-08,Bourse,Paris,2,123
2020-12-11,Vaugirard,Paris,2,30
2020-01-09,Buttes-Chaumont,Paris,2,9280
2020-01-09,Buttes-Chaumont,Paris,2,9280
2021-02-02,Elysee,Paris,2,63
2015-12-10,Hotel-de-Ville,Paris,2,73
2015-12-10,Bourse,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Luxembourg,Paris,2,72
2015-12-10,Luxembourg,Paris,2,73
2015-12-10,Luxembourg,Paris,2,73
2015-12-10,Luxembourg,Paris,2,73
2015-12-10,Luxembourg,Paris,2,73
2015-12-10,Hotel-de-Ville,Paris,2,73
2015-12-10,Hotel-de-Ville,Paris,2,73
2015-12-10,Hotel-de-Ville,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2018-05-09,Opera,Paris,2,42
2015-12-10,Elysee,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Opera,Paris,2,72
2015-12-10,Temple,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Temple,Paris,2,73
2015-12-10,Temple,Paris,2,73
2015-12-10,Temple,Paris,2,73
2019-05-10,Popincourt,Paris,2,60
2015-12-10,Temple,Paris,2,72
2015-12-10,Temple,Paris,2,73
2015-12-10,Louvre,Paris,2,72
2015-12-10,Louvre,Paris,2,65
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,72
2015-12-10,Louvre,Paris,2,68
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Louvre,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,69
2015-12-10,Opera,Paris,2,72
2015-12-10,Opera,Paris,2,69
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,69
2015-12-10,Opera,Paris,2,73
2015-12-10,Passy,Paris,2,73
2015-12-10,Passy,Paris,2,73
2015-12-10,Passy,Paris,2,73
2015-12-10,Passy,Paris,2,73
2015-12-10,Passy,Paris,2,61
2015-12-10,Passy,Paris,2,72
2015-12-10,Passy,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Opera,Paris,2,72
2015-12-10,Opera,Paris,2,72
2015-12-10,Vaugirard,Paris,2,73
2015-12-10,Vaugirard,Paris,2,69
2015-12-10,Vaugirard,Paris,2,71
2015-12-10,Vaugirard,Paris,2,73
2015-12-10,Vaugirard,Paris,2,73
2015-12-10,Vaugirard,Paris,2,73
2015-12-10,Vaugirard,Paris,2,73
2015-12-10,Vaugirard,Paris,2,76
2015-12-10,Observatoire,Paris,2,73
2015-12-10,Observatoire,Paris,2,60
2015-12-10,Opera,Paris,2,73
2015-12-10,Bourse,Paris,2,73
2015-12-10,Luxembourg,Paris,2,73
2015-12-10,Elysee,Paris,2,73
2015-12-10,Hotel-de-Ville,Paris,2,73
2015-12-10,Opera,Paris,2,73
2015-12-10,Elysee,Paris,2,72
2020-12-27,Gobelins,Paris,2,47
2015-05-21,Temple,Paris,5,245
2019-01-14,Buttes-Montmartre,Paris,6,139
2015-12-10,Louvre,Paris,6,143
2020-10-14,Buttes-Montmartre,Paris,6,81
2020-02-15,Batignolles-Monceau,Paris,6,99
2015-05-21,Buttes-Chaumont,Paris,3,135
2015-05-21,Luxembourg,Paris,6,624
2015-05-21,Opera,Paris,5,158
2015-05-21,Observatoire,Paris,3,140
2015-05-21,Hotel-de-Ville,Paris,6,278
2015-05-21,Observatoire,Paris,5,258
2018-11-06,Passy,Paris,5,12
2015-05-21,Observatoire,Paris,6,158
2015-05-21,Enclos-St-Laurent,Paris,5,198
2017-07-19,Pantheon,Paris,7,110
2019-08-24,Palais-Bourbon,Paris,8,129
2019-02-26,Elysee,Paris,7,118
2017-07-20,Pantheon,Paris,7,110
2015-12-10,Hotel-de-Ville,Paris,6,143
2013-02-12,Palais-Bourbon,Paris,6,339
2015-12-10,Hotel-de-Ville,Paris,6,143
2017-12-07,Luxembourg,Paris,7,110
2015-05-21,Luxembourg,Paris,3,176
2018-07-23,Observatoire,Paris,5,70
2018-12-14,Elysee,Paris,6,319
2015-12-10,Elysee,Paris,5,124
2015-05-21,Hotel-de-Ville,Paris,5,275
2019-08-23,Buttes-Chaumont,Paris,5,135
2018-12-04,Pantheon,Paris,5,161
2016-10-04,Temple,Paris,10,195
2020-04-21,Bourse,Paris,6,109
2021-01-03,Enclos-St-Laurent,Paris,6,68
2015-05-21,Buttes-Montmartre,Paris,3,179
2018-10-18,Passy,Paris,5,12
2018-12-21,Passy,Paris,5,12
2019-01-14,Vaugirard,Paris,6,281
2015-05-21,Popincourt,Paris,5,211
2015-12-10,Opera,Paris,5,133
2015-12-10,Hotel-de-Ville,Paris,6,143
2015-05-21,Luxembourg,Paris,5,329
2013-07-14,Elysee,Paris,6,200
2018-06-14,Hotel-de-Ville,Paris,6,101
2018-06-14,Temple,Paris,8,144
2018-06-14,Temple,Paris,6,118
2015-12-10,Elysee,Paris,5,133
2013-07-27,Popincourt,Paris,1,46
2015-01-05,Pantheon,Paris,6,79
2019-10-28,Temple,Paris,6,82
2021-01-03,Enclos-St-Laurent,Paris,6,58
2015-05-21,Luxembourg,Paris,6,272
2015-05-21,Passy,Paris,5,239
2015-05-21,Luxembourg,Paris,3,211
2020-04-21,Bourse,Paris,6,86
2016-10-04,Louvre,Paris,6,117
2019-08-23,Palais-Bourbon,Paris,6,129
2019-08-23,Palais-Bourbon,Paris,6,129
2020-04-21,Popincourt,Paris,8,108
2020-05-19,Popincourt,Paris,6,105
2020-07-08,Opera,Paris,6,151
2015-05-21,Louvre,Paris,4,216
2015-05-21,Vaugirard,Paris,4,203
2015-05-21,Elysee,Paris,4,231
2015-05-21,Batignolles-Monceau,Paris,4,171
2017-05-06,Buttes-Montmartre,Paris,4,71
2015-12-10,Temple,Paris,4,93
2015-05-21,Opera,Paris,4,158
2015-05-21,Enclos-St-Laurent,Paris,4,186
2015-05-21,Enclos-St-Laurent,Paris,4,174
2015-05-21,Buttes-Montmartre,Paris,4,186
2014-07-08,Vaugirard,Paris,4,100
2015-05-21,Vaugirard,Paris,4,173
2015-05-21,Passy,Paris,4,231
2015-05-21,Popincourt,Paris,4,152
2015-05-21,Pantheon,Paris,4,239
2015-05-21,Batignolles-Monceau,Paris,4,173
2015-05-21,Passy,Paris,4,224
2018-06-14,Hotel-de-Ville,Paris,4,124
2015-05-21,Palais-Bourbon,Paris,4,383
2015-05-21,Opera,Paris,4,135
2015-05-21,Popincourt,Paris,4,179
2015-05-21,Hotel-de-Ville,Paris,4,192
2015-05-21,Opera,Paris,4,216
2015-05-21,Passy,Paris,4,276
2015-05-21,Popincourt,Paris,4,179
2015-05-21,Hotel-de-Ville,Paris,4,271
2015-05-21,Louvre,Paris,4,259
2015-05-21,Pantheon,Paris,4,194
2015-05-21,Observatoire,Paris,4,194
2015-05-21,Vaugirard,Paris,4,207
2015-05-21,Louvre,Paris,4,257
2019-10-29,Gobelins,Paris,4,99
2018-11-29,Temple,Paris,4,250
2015-05-21,Buttes-Montmartre,Paris,4,176
2015-05-21,Popincourt,Paris,4,171
2015-05-21,Passy,Paris,4,284
2015-05-21,Passy,Paris,4,354
2015-05-21,Opera,Paris,4,324
2015-05-21,Bourse,Paris,4,247
2015-05-21,Passy,Paris,4,271
2015-05-21,Batignolles-Monceau,Paris,4,334
2015-05-21,Hotel-de-Ville,Paris,4,356
2015-05-21,Vaugirard,Paris,4,183
2015-05-21,Luxembourg,Paris,4,265
2015-05-21,Elysee,Paris,4,243
2015-05-21,Hotel-de-Ville,Paris,4,252
2015-05-21,Elysee,Paris,4,181
2015-05-21,Elysee,Paris,4,316
2015-05-21,Louvre,Paris,4,374
2015-05-21,Vaugirard,Paris,4,182
2015-05-21,Batignolles-Monceau,Paris,4,320
2015-05-21,Opera,Paris,4,252
2015-05-21,Louvre,Paris,4,288
2015-05-21,Elysee,Paris,4,429
2015-05-21,Buttes-Montmartre,Paris,4,189
2020-08-02,Popincourt,Paris,4,89
2020-08-02,Popincourt,Paris,4,95
2015-05-21,Menilmontant,Paris,4,135
2015-05-21,Vaugirard,Paris,4,135
2015-05-21,Batignolles-Monceau,Paris,4,194
2015-05-21,Observatoire,Paris,4,176
2015-05-21,Vaugirard,Paris,4,147
2015-05-21,Palais-Bourbon,Paris,4,251
2015-05-21,Palais-Bourbon,Paris,4,169
2015-05-21,Passy,Paris,4,173
2015-05-21,Batignolles-Monceau,Paris,4,223
2015-05-21,Louvre,Paris,4,198
2015-05-21,Palais-Bourbon,Paris,4,202
2016-12-02,Batignolles-Monceau,Paris,4,117
2017-08-04,Buttes-Chaumont,Paris,4,69
2016-09-28,Palais-Bourbon,Paris,4,84
2016-09-28,Palais-Bourbon,Paris,4,81
2017-08-04,Buttes-Chaumont,Paris,4,68
2015-05-21,Palais-Bourbon,Paris,4,268
2015-05-21,Opera,Paris,4,180
2015-05-21,Vaugirard,Paris,4,171
2015-05-21,Temple,Paris,4,190
2015-05-21,Buttes-Montmartre,Paris,4,135
2017-08-04,Elysee,Paris,4,97
2016-10-04,Popincourt,Paris,4,75
2017-07-19,Temple,Paris,4,89
2016-09-28,Temple,Paris,4,77
2017-07-19,Elysee,Paris,4,97
2016-09-28,Passy,Paris,4,82
2016-10-04,Bourse,Paris,4,84
2016-09-28,Palais-Bourbon,Paris,4,81
2015-05-21,Temple,Paris,4,181
2019-01-29,Hotel-de-Ville,Paris,4,82
2016-10-04,Reuilly,Paris,4,73
2016-10-04,Reuilly,Paris,4,69
2016-10-04,Temple,Paris,4,76
2015-05-21,Luxembourg,Paris,4,291
2015-05-21,Luxembourg,Paris,4,226
2017-05-06,Buttes-Montmartre,Paris,4,60
2013-07-14,Elysee,Paris,4,101
2017-05-06,Passy,Paris,4,68
2011-09-14,Elysee,Paris,4,100
2016-10-04,Reuilly,Paris,4,71
2018-08-22,Bourse,Paris,4,87
2017-05-06,Vaugirard,Paris,4,120
2019-07-11,Buttes-Chaumont,Paris,4,56
2016-07-29,Palais-Bourbon,Paris,4,81
2015-04-22,Elysee,Paris,4,99
2015-05-21,Opera,Paris,4,140
2015-05-21,Bourse,Paris,4,199
2009-11-30,Gobelins,Paris,4,100
2016-10-04,Reuilly,Paris,4,73
2016-10-04,Reuilly,Paris,4,107
2013-02-12,Hotel-de-Ville,Paris,4,34
2019-01-29,Batignolles-Monceau,Paris,4,87
2015-12-10,Pantheon,Paris,4,93
2015-12-10,Pantheon,Paris,4,93
2015-12-10,Pantheon,Paris,4,92
2015-12-10,Pantheon,Paris,4,89
2015-12-10,Hotel-de-Ville,Paris,4,93
2015-12-10,Opera,Paris,4,92
2015-12-10,Bourse,Paris,4,93
2015-12-10,Luxembourg,Paris,4,93
2015-12-10,Elysee,Paris,4,93
2015-12-10,Luxembourg,Paris,4,93
2015-12-10,Luxembourg,Paris,4,93
2015-12-10,Hotel-de-Ville,Paris,4,93
2015-12-10,Hotel-de-Ville,Paris,4,93
2015-12-10,Opera,Paris,4,93
2015-12-10,Opera,Paris,4,93
2018-07-23,Reuilly,Paris,4,57
2015-12-10,Elysee,Paris,4,89
2015-12-10,Elysee,Paris,4,93
2015-12-10,Elysee,Paris,4,93
2015-09-06,Bourse,Paris,4,115
2018-11-15,Enclos-St-Laurent,Paris,4,70
2018-12-21,Opera,Paris,4,83
2015-12-10,Bourse,Paris,4,92
2015-12-10,Bourse,Paris,4,93
2015-12-10,Bourse,Paris,4,93
2015-12-10,Bourse,Paris,4,93
2015-12-10,Bourse,Paris,4,93
2015-12-10,Elysee,Paris,4,93
2015-12-10,Elysee,Paris,4,93
2015-12-10,Elysee,Paris,4,68
2019-01-14,Buttes-Montmartre,Paris,4,111
2019-01-14,Buttes-Montmartre,Paris,4,110
2019-01-14,Buttes-Montmartre,Paris,4,114
2019-02-26,Batignolles-Monceau,Paris,4,87
2019-07-08,Passy,Paris,4,112
2015-12-10,Opera,Paris,4,91
2015-12-10,Opera,Paris,4,91
2015-12-10,Opera,Paris,4,93
2015-12-10,Opera,Paris,4,91
2019-05-02,Elysee,Paris,4,106
2015-12-10,Temple,Paris,4,96
2015-12-10,Temple,Paris,4,93
2015-12-10,Temple,Paris,4,96
2015-12-10,Temple,Paris,4,92
2015-12-10,Temple,Paris,4,95
2015-12-10,Temple,Paris,4,93
2019-05-02,Passy,Paris,4,93
2015-12-10,Louvre,Paris,4,93
2015-12-10,Louvre,Paris,4,93
2015-12-10,Louvre,Paris,4,98
2015-12-10,Louvre,Paris,4,93
2015-12-10,Opera,Paris,4,93
2015-12-10,Opera,Paris,4,93
2015-12-10,Opera,Paris,4,93
2019-10-24,Menilmontant,Paris,4,140
2019-11-04,Popincourt,Paris,4,120
2015-12-10,Opera,Paris,4,98
2015-12-10,Opera,Paris,4,93
2015-12-10,Opera,Paris,4,98
2019-07-09,Temple,Paris,4,89
2020-01-09,Temple,Paris,4,127
2020-01-09,Temple,Paris,4,122
2020-01-09,Temple,Paris,4,111
