host_since,neighbourhood,city,accommodates,price
2014-03-02,Popincourt,Paris,2,75
2015-09-10,Buttes-Montmartre,Paris,2,35
2014-07-19,Gobelins,Paris,2,90
2013-10-10,Vaugirard,Paris,2,68
2013-10-26,Batignolles-Monceau,Paris,2,85
2013-10-03,Opera,Paris,2,55
2012-08-15,Temple,Paris,2,60
2014-07-02,Popincourt,Paris,2,38
2014-10-13,Opera,Paris,2,106
2013-04-18,Buttes-Chaumont,Paris,2,50
2014-01-31,Popincourt,Paris,2,90
2014-05-21,Batignolles-Monceau,Paris,2,110
2016-02-04,Vaugirard,Paris,2,80
2014-04-18,Buttes-Montmartre,Paris,2,104
2015-03-15,Buttes-Chaumont,Paris,2,165
2016-12-06,Vaugirard,Paris,2,55
2013-07-06,Batignolles-Monceau,Paris,2,70
2015-05-31,Temple,Paris,2,110
2016-03-26,Buttes-Montmartre,Paris,2,110
2017-05-31,Louvre,Paris,2,60
2013-02-08,Vaugirard,Paris,2,120
2013-03-08,Popincourt,Paris,2,70
2014-05-06,Menilmontant,Paris,2,50
2015-06-29,Buttes-Montmartre,Paris,2,70
2014-12-14,Vaugirard,Paris,2,75
2016-03-30,Buttes-Montmartre,Paris,2,80
2016-07-11,Passy,Paris,2,150
2015-04-06,Popincourt,Paris,2,100
2013-09-24,Luxembourg,Paris,2,85
2015-02-21,Buttes-Montmartre,Paris,2,90
2014-03-02,Bourse,Paris,2,70
2015-04-16,Vaugirard,Paris,2,72
2018-11-04,Observatoire,Paris,2,150
2014-06-13,Opera,Paris,2,65
2013-07-21,Batignolles-Monceau,Paris,2,75
2012-04-09,Popincourt,Paris,2,100
2015-10-21,Enclos-St-Laurent,Paris,2,80
2015-09-08,Vaugirard,Paris,2,52
2017-05-31,Gobelins,Paris,2,50
2019-04-11,Reuilly,Paris,2,67
2019-04-10,Popincourt,Paris,2,113
2013-12-19,Buttes-Chaumont,Paris,2,75
2013-02-07,Buttes-Montmartre,Paris,2,60
2014-05-15,Vaugirard,Paris,2,150
2016-07-27,Observatoire,Paris,2,65
2015-08-20,Buttes-Chaumont,Paris,2,55
2013-07-10,Popincourt,Paris,2,90
2014-02-17,Palais-Bourbon,Paris,2,150
2013-06-10,Vaugirard,Paris,2,100
2015-06-30,Enclos-St-Laurent,Paris,2,100
2019-02-23,Gobelins,Paris,2,110
2013-08-05,Enclos-St-Laurent,Paris,2,85
2013-03-05,Enclos-St-Laurent,Paris,2,100
2017-03-06,Buttes-Montmartre,Paris,2,87
2013-07-11,Passy,Paris,2,160
2015-11-03,Buttes-Montmartre,Paris,2,110
2015-05-25,Popincourt,Paris,2,102
2016-08-05,Pantheon,Paris,2,95
2014-01-12,Menilmontant,Paris,2,80
2012-02-29,Louvre,Paris,2,111
2013-01-23,Batignolles-Monceau,Paris,2,80
2013-07-21,Louvre,Paris,2,130
2013-10-27,Opera,Paris,2,75
2011-12-07,Batignolles-Monceau,Paris,2,65
2014-06-29,Popincourt,Paris,2,50
2014-12-02,Gobelins,Paris,2,80
